"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","177","API-03 every brand a product carries is in the brand list","api","2026-09-26","passed","2026-09-26","Catalogue API","api-tests/catalogue.api.spec.ts","",""
"","306","API-05 a search narrows the catalogue and returns what it matched","api","2026-09-26","passed","2026-09-26","Catalogue API","api-tests/catalogue.api.spec.ts","",""
"","154","API-10 a login without an email is refused with 400, a DELETE with 405","api","2026-09-26","passed","2026-09-26","Account API","api-tests/account.api.spec.ts","",""
"","1065","API-11 an update is visible in the account details straight away","api","2026-09-26","passed","2026-09-26","Account API","api-tests/account.api.spec.ts","",""
"","118","API-04 the brand list refuses a PUT with 405 in the body","api","2026-09-26","passed","2026-09-26","Catalogue API","api-tests/catalogue.api.spec.ts","",""
"","802","API-07 an account created over the API can log in","api","2026-09-26","passed","2026-09-26","Account API","api-tests/account.api.spec.ts","",""
"","227","API-02 the product list refuses a POST with 405 in the body","api","2026-09-26","passed","2026-09-26","Catalogue API","api-tests/catalogue.api.spec.ts","",""
"","888","API-08 the same email cannot register twice","api","2026-09-26","passed","2026-09-26","Account API","api-tests/account.api.spec.ts","",""
"","173","API-01 the product list returns the whole catalogue, each product complete","api","2026-09-26","passed","2026-09-26","Catalogue API","api-tests/catalogue.api.spec.ts","",""
"","1022","API-12 a deleted account can no longer log in or be looked up","api","2026-09-26","passed","2026-09-26","Account API","api-tests/account.api.spec.ts","",""
"","408","API-09 the wrong password is refused without saying which field was wrong","api","2026-09-26","passed","2026-09-26","Account API","api-tests/account.api.spec.ts","",""
"","111","API-06 a search without a term is refused with 400 in the body","api","2026-09-26","passed","2026-09-26","Catalogue API","api-tests/catalogue.api.spec.ts","",""
