"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1022","API-12 a deleted account can no longer log in or be looked up","api","2026-09-26","passed","2026-09-26","Account API","api-tests/account.api.spec.ts","",""
"","3229","TC-15 the quantity chosen on the product page is the quantity in the cart","webkit","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","0","TC-21 the scroll up control returns the visitor to the top","chromium","2026-09-26","skipped","2026-09-26","Home","tests/home/home.spec.ts","",""
"","2901","TC-11 a search that matches nothing says so rather than showing everything","webkit","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","788","TC-09 a product page states everything a buyer decides on","chromium","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","1065","API-11 an update is visible in the account details straight away","api","2026-09-26","passed","2026-09-26","Account API","api-tests/account.api.spec.ts","",""
"","1431","VR-20 the contact success state","visual","2026-09-26","passed","2026-09-26","Visual: contact","vr-tests/contact.vr.spec.ts","",""
"","10692","TC-03 a product from the recommended row reaches the cart","webkit","2026-09-26","passed","2026-09-26","Home","tests/home/home.spec.ts","",""
"","14232","TC-05 the wrong password is refused and no session is created","webkit","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","154","API-10 a login without an email is refused with 400, a DELETE with 405","api","2026-09-26","passed","2026-09-26","Account API","api-tests/account.api.spec.ts","",""
"","3043","VR-13 a cart row","visual","2026-09-26","passed","2026-09-26","Visual: cart","vr-tests/cart.vr.spec.ts","",""
"","5133","TC-17 the cart survives navigating away and back","webkit","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","1196","TC-09 a product page states everything a buyer decides on","webkit","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","1711","TC-10 search narrows the catalogue rather than returning all of it","chromium","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","4430","TC-16 removing the only product leaves the cart empty, not stale","chromium","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","2962","TC-12 a category narrows the catalogue to that category","chromium","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","1403","TC-20 a visitor can subscribe from the cart page","webkit","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","9952","TC-07 registering an email that already exists is refused","chromium","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","177","API-03 every brand a product carries is in the brand list","api","2026-09-26","passed","2026-09-26","Catalogue API","api-tests/catalogue.api.spec.ts","",""
"","10325","TC-04 a new visitor can register and is greeted by name","webkit","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","5961","TC-04 a new visitor can register and is greeted by name","chromium","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","118","API-04 the brand list refuses a PUT with 405 in the body","api","2026-09-26","passed","2026-09-26","Catalogue API","api-tests/catalogue.api.spec.ts","",""
"","888","API-08 the same email cannot register twice","api","2026-09-26","passed","2026-09-26","Account API","api-tests/account.api.spec.ts","",""
"","2680","VR-03 category and brand sidebar","visual","2026-09-26","passed","2026-09-26","Visual: home","vr-tests/home.vr.spec.ts","",""
"","2917","VR-10 a category listing","visual","2026-09-26","passed","2026-09-26","Visual: catalogue","vr-tests/catalogue.vr.spec.ts","",""
"","2117","VR-08 the product information panel","visual","2026-09-26","passed","2026-09-26","Visual: catalogue","vr-tests/catalogue.vr.spec.ts","",""
"","306","API-05 a search narrows the catalogue and returns what it matched","api","2026-09-26","passed","2026-09-26","Catalogue API","api-tests/catalogue.api.spec.ts","",""
"","11636","TC-05 the wrong password is refused and no session is created","chromium","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","10376","TC-07 registering an email that already exists is refused","webkit","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","2332","VR-06 the products page header and search","visual","2026-09-26","passed","2026-09-26","Visual: catalogue","vr-tests/catalogue.vr.spec.ts","",""
"","3903","VR-14 the cart table with two products","visual","2026-09-26","passed","2026-09-26","Visual: cart","vr-tests/cart.vr.spec.ts","",""
"","3082","VR-17 the login error state","visual","2026-09-26","passed","2026-09-26","Visual: account","vr-tests/account.vr.spec.ts","",""
"","1","TC-21 the scroll up control returns the visitor to the top","webkit","2026-09-26","skipped","2026-09-26","Home","tests/home/home.spec.ts","",""
"","12619","TC-06 an existing account can log in and log out again","chromium","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","173","API-01 the product list returns the whole catalogue, each product complete","api","2026-09-26","passed","2026-09-26","Catalogue API","api-tests/catalogue.api.spec.ts","",""
"","2299","VR-01 header and navigation","visual","2026-09-26","passed","2026-09-26","Visual: home","vr-tests/home.vr.spec.ts","",""
