"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2901","TC-11 a search that matches nothing says so rather than showing everything","webkit","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","10325","TC-04 a new visitor can register and is greeted by name","webkit","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","1711","TC-10 search narrows the catalogue rather than returning all of it","chromium","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","2816","TC-13 a brand narrows the catalogue to that brand","webkit","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","10376","TC-07 registering an email that already exists is refused","webkit","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","13064","TC-06 an existing account can log in and log out again","webkit","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","1196","TC-09 a product page states everything a buyer decides on","webkit","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","14232","TC-05 the wrong password is refused and no session is created","webkit","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","4430","TC-16 removing the only product leaves the cart empty, not stale","chromium","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","2229","TC-10 search narrows the catalogue rather than returning all of it","webkit","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","1255","TC-01 the landing page renders its carousel, catalogue and categories","chromium","2026-09-26","passed","2026-09-26","Home","tests/home/home.spec.ts","",""
"","1716","TC-19 a review can be left against a product","webkit","2026-09-26","passed","2026-09-26","Contact and reviews","tests/contact/contact.spec.ts","",""
"","3072","TC-15 the quantity chosen on the product page is the quantity in the cart","chromium","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","2291","TC-08 the products page lists the catalogue","webkit","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","1","TC-21 the scroll up control returns the visitor to the top","webkit","2026-09-26","skipped","2026-09-26","Home","tests/home/home.spec.ts","",""
"","2241","TC-18 the contact form submits and confirms","webkit","2026-09-26","passed","2026-09-26","Contact and reviews","tests/contact/contact.spec.ts","",""
"","0","TC-21 the scroll up control returns the visitor to the top","chromium","2026-09-26","skipped","2026-09-26","Home","tests/home/home.spec.ts","",""
"","5159","TC-14 two products added from the grid both arrive in the cart","webkit","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","5961","TC-04 a new visitor can register and is greeted by name","chromium","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","4694","TC-16 removing the only product leaves the cart empty, not stale","webkit","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","10692","TC-03 a product from the recommended row reaches the cart","webkit","2026-09-26","passed","2026-09-26","Home","tests/home/home.spec.ts","",""
"","27607","TC-12 a category narrows the catalogue to that category","webkit","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","12619","TC-06 an existing account can log in and log out again","chromium","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","2815","TC-17 the cart survives navigating away and back","chromium","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","9952","TC-07 registering an email that already exists is refused","chromium","2026-09-26","passed","2026-09-26","Account","tests/auth/auth.spec.ts","",""
"","9713","TC-03 a product from the recommended row reaches the cart","chromium","2026-09-26","passed","2026-09-26","Home","tests/home/home.spec.ts","",""
"","2962","TC-12 a category narrows the catalogue to that category","chromium","2026-09-26","passed","2026-09-26","Catalogue","tests/products/products.spec.ts","",""
"","5133","TC-17 the cart survives navigating away and back","webkit","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","1403","TC-20 a visitor can subscribe from the cart page","webkit","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","3229","TC-15 the quantity chosen on the product page is the quantity in the cart","webkit","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
"","5428","TC-14 two products added from the grid both arrive in the cart","chromium","2026-09-26","passed","2026-09-26","Cart","tests/cart/cart.spec.ts","",""
