"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2117","VR-08 the product information panel","visual","2026-09-26","passed","2026-09-26","Visual: catalogue","vr-tests/catalogue.vr.spec.ts","",""
"","2680","VR-03 category and brand sidebar","visual","2026-09-26","passed","2026-09-26","Visual: home","vr-tests/home.vr.spec.ts","",""
"","2156","VR-09 the review form","visual","2026-09-26","passed","2026-09-26","Visual: catalogue","vr-tests/catalogue.vr.spec.ts","",""
"","2332","VR-16 the signup form","visual","2026-09-26","passed","2026-09-26","Visual: account","vr-tests/account.vr.spec.ts","",""
"","3903","VR-14 the cart table with two products","visual","2026-09-26","passed","2026-09-26","Visual: cart","vr-tests/cart.vr.spec.ts","",""
"","2390","VR-02 hero carousel, first slide","visual","2026-09-26","passed","2026-09-26","Visual: home","vr-tests/home.vr.spec.ts","",""
"","3105","VR-07 search results heading and first tile","visual","2026-09-26","passed","2026-09-26","Visual: catalogue","vr-tests/catalogue.vr.spec.ts","",""
"","2299","VR-01 header and navigation","visual","2026-09-26","passed","2026-09-26","Visual: home","vr-tests/home.vr.spec.ts","",""
"","3082","VR-17 the login error state","visual","2026-09-26","passed","2026-09-26","Visual: account","vr-tests/account.vr.spec.ts","",""
"","2426","VR-05 footer and subscription box","visual","2026-09-26","passed","2026-09-26","Visual: home","vr-tests/home.vr.spec.ts","",""
"","2917","VR-10 a category listing","visual","2026-09-26","passed","2026-09-26","Visual: catalogue","vr-tests/catalogue.vr.spec.ts","",""
"","2826","VR-12 the added to cart modal","visual","2026-09-26","passed","2026-09-26","Visual: cart","vr-tests/cart.vr.spec.ts","",""
"","1431","VR-20 the contact success state","visual","2026-09-26","passed","2026-09-26","Visual: contact","vr-tests/contact.vr.spec.ts","",""
"","3285","VR-11 the checkout control","visual","2026-09-26","passed","2026-09-26","Visual: cart","vr-tests/cart.vr.spec.ts","",""
"","2237","VR-19 the contact form","visual","2026-09-26","passed","2026-09-26","Visual: contact","vr-tests/contact.vr.spec.ts","",""
"","2277","VR-15 the login form","visual","2026-09-26","passed","2026-09-26","Visual: account","vr-tests/account.vr.spec.ts","",""
"","3043","VR-13 a cart row","visual","2026-09-26","passed","2026-09-26","Visual: cart","vr-tests/cart.vr.spec.ts","",""
"","2522","VR-18 the account details form","visual","2026-09-26","passed","2026-09-26","Visual: account","vr-tests/account.vr.spec.ts","",""
"","2332","VR-06 the products page header and search","visual","2026-09-26","passed","2026-09-26","Visual: catalogue","vr-tests/catalogue.vr.spec.ts","",""
"","2616","VR-04 a catalogue tile","visual","2026-09-26","passed","2026-09-26","Visual: home","vr-tests/home.vr.spec.ts","",""
